Days to 50% Flowering;Days to 50% Pod Setting;Number of Pods per Plant;Plant Height (cm);First Pod Height (cm);Biological Yield (g);1000-Seed Weight (g);Seed Yield per Plant (g);Total Seed Yield (kg/da)
72;86;28;20.2;11.8;3.15;42.57;1.33;128.71
66;77;31;19.45;10.08;3.88;40.82;1.52;138.35
68;79;21;21.33;10.37;2.21;37.25;0.92;101.26
73;80;26;18.5;13.5;1.74;33.9;0.78;85.82
68;75;19;22.14;18.45;1.99;40.1;0.84;94.39
70;77;18;20.15;15.08;1.95;38.4;0.78;89.61
67;76;46;21.6;10.8;10.29;40.91;2.06;177.39
73;82;46;27.05;20.45;7.44;40.67;2.64;214.27
72;81;47;22.33;13.69;4.27;40.77;1.71;153.92
68;80;38;19.5;11;6.13;44.2;1.46;138.71
69;79;47;26.74;18.35;4.07;39.1;1.68;153.62
68;78;37;19.88;15.13;5.81;42.1;1.99;181.36
68;82;22;18.8;10.7;2.05;40.85;0.85;96.48
75;84;30;19.88;10.47;4.45;41.15;1.52;136.78
65;76;28;25.15;14.48;3.27;40.67;1.29;122.55
70;80;18;18.5;14;1.91;38.2;0.78;87.14
71;81;9;16.05;14.35;0.96;36.6;0.44;61.28
73;82;28;19.63;13.16;3.16;38.5;1.34;128.21
78;90;37;19.8;10.7;6.52;34.17;1.33;128.17
65;77;48;22.85;12.35;5.28;42.01;2.4;204.36
72;79;49;21.34;15.62;4.55;41.25;1.88;169.21
69;78;28;24.3;12;1.59;41.32;0.95;104.58
72;81;12;18.85;15.45;0.92;40.7;0.57;65.13
70;79;10;17.35;12.81;1.43;47.1;0.61;72.13
73;84;41;15.3;7.8;7.93;42.04;1.79;162.33
69;80;70;20.25;9.65;8.25;43.22;3.38;255.65
66;76;48;20.12;11.37;6.06;42.29;2.33;198.03
66;73;40;18.4;14.5;4.19;40.39;1.86;167.45
71;79;45;21.78;12.55;10.46;34.3;1.83;165.08
69;78;38;25.24;16.32;3.69;42.7;1.49;142.36
57;68;41;28.5;15.5;3.26;42.28;1.38;140.22
72;84;38;21.65;13.85;4.04;44.95;1.65;149.58
65;74;28;21.49;11.27;3.06;43.26;1.29;122.55
72;81;14;24.3;16.5;2.33;47.5;0.69;75.96
69;76;21;26.5;20.05;1.75;44.1;0.77;86.42
71;77;20;22.65;14.44;2.49;42.3;0.94;104.74
66;75;39;17.9;8.5;4.49;44.12;1.38;153.18
67;80;61;21.45;10.55;5.49;40.55;2.38;202.15
71;82;47;19.13;10.33;4.82;38.28;1.95;175.53
69;81;17;20;13;2.28;45.5;0.98;107.86
72;79;14;18.15;13.58;1.65;46.6;0.58;66.09
70;80;23;20.15;13.55;3.51;47.1;1.08;104.26
63;77;20;23.5;10.4;2.66;42.51;1.38;109.61
68;80;44;20.35;10.78;2.79;39.08;1.88;170.17
69;79;42;30.14;20.17;4.78;36.48;2.03;172.55
70;80;6;20;17;0.89;38.8;0.4;55.65
69;79;7;19.55;16.06;0.89;37.5;0.31;58.29
71;82;17;24.09;17.61;1.46;45.5;0.68;77.39
68;80;29;18.7;9.8;2.04;38.33;1.24;120.16
73;84;33;25.65;15.05;3.44;42.14;1.52;137.13
68;78;42;26.45;16.46;4.93;42.58;2.04;173.42
68;76;10;27;15.3;1.45;46.7;0.77;84.78
69;78;20;22.56;16.15;1.8;40.8;0.97;107.35
69;80;12;21.37;14.58;1.76;46.4;0.69;76.21
63;72;38;29;13.5;4.51;43.83;1.54;140.41
71;78;55;30.94;20.39;7.78;40.27;2.35;200.58
67;78;44;24.56;14.59;4.91;42.68;2.14;204.31
69;79;11;18.3;11.9;1.62;43.6;0.81;89.13
71;80;15;19.48;14.5;1.06;42.8;0.51;62.36
71;81;11;18.38;12.37;1.04;46.1;0.54;61.47
72;81;21;25;16.5;2.69;46.9;1;115.18
72;79;28;23.5;15.47;3.42;39.6;1.35;130.02
71;82;22;23.52;13.55;1.92;45.4;1.05;99.75
69;80;13;17.2;14.3;0.84;43.01;0.43;57.21
68;78;13;22.4;19.82;1.68;44.1;0.54;63.18
68;78;17;22.55;15.35;1.53;43.1;0.69;78.18
70;82;19;32;19;3.2;41.5;0.9;101.37
71;80;23;30.02;21.65;2.9;47.8;1;115.36
71;80;27;28.48;17.15;1.92;43.5;1;110.48
70;80;27;21;18;4.12;47.8;1.33;126.35
